date,Oslo
2015-05-28,5
2015-06-03,5
2015-06-04,6
2015-06-05,6
2015-06-06,6
2015-06-07,6
2015-06-08,6
2015-06-09,5
2015-06-10,5
2015-06-11,5
2015-06-12,5
2015-06-13,5
2015-06-14,6
2015-06-15,6
2015-06-16,6
2015-06-17,6
2015-06-18,6
2015-06-19,6
2015-06-20,6
2015-06-21,5
2015-06-22,5
2015-06-23,5
2015-06-24,5
2015-06-25,5
2015-06-26,7
2015-06-27,10
2015-06-28,11
2015-06-29,13
2015-06-30,13
2015-07-01,12
2015-07-02,12
2015-07-03,10
2015-07-04,8
2015-07-05,9
2015-07-06,9
2015-07-07,10
2015-07-08,10
2015-07-09,6
2015-07-10,7
2015-07-11,8
2015-07-12,8
2015-07-13,9
2015-07-14,9
2015-07-15,9
2015-07-16,10
2015-07-17,10
2015-07-18,10
2015-07-19,11
