date,Datenbanken,Datenmanagement,Datentechnik,Data-Mining,Datenformate,"Linked Data",Informationsextraktion,Stromverarbeitung
2015-05-28,14,0,0,74,0,0,0,0
2015-05-28,14,0,0,75,0,0,0,0
2015-05-29,12,0,0,70,0,0,0,0
2015-05-30,12,0,0,71,0,0,0,0
2015-05-31,15,0,0,70,0,0,0,0
2015-06-01,16,0,0,68,0,0,0,0
2015-06-02,17,0,0,73,0,0,0,0
2015-06-03,20,0,0,78,0,0,0,0
2015-06-04,22,0,0,97,0,0,0,0
2015-06-05,22,0,0,102,0,0,0,0
2015-06-06,23,0,0,102,0,0,0,0
2015-06-07,24,0,0,101,0,0,0,0
2015-06-08,24,0,0,99,0,0,0,0
2015-06-09,25,0,0,102,0,0,0,0
2015-06-10,24,0,0,101,0,0,0,0
2015-06-11,25,0,0,101,0,0,0,0
2015-06-12,23,0,0,103,0,0,0,0
2015-06-13,24,0,0,105,0,0,0,0
2015-06-14,23,0,0,105,0,0,0,0
2015-06-15,25,0,0,105,0,0,0,0
2015-06-16,25,0,0,102,0,0,0,0
2015-06-17,25,0,0,102,0,0,0,0
2015-06-18,27,0,0,104,0,0,0,0
2015-06-19,28,0,0,101,0,0,0,0
2015-06-20,28,0,0,101,0,0,0,0
2015-06-21,28,0,0,100,0,0,0,0
2015-06-22,28,0,0,102,0,0,0,0
2015-06-23,29,0,0,101,0,0,0,0
2015-06-24,29,0,0,106,0,0,0,0
2015-06-25,32,0,0,102,0,0,0,0
2015-06-26,31,0,0,103,0,0,0,0
2015-06-27,29,0,0,100,0,0,0,0
2015-06-28,29,0,0,102,0,0,0,0
2015-06-29,30,0,0,105,0,0,0,0
2015-06-30,31,0,0,100,0,0,0,0
2015-07-01,28,0,0,98,0,0,0,0
2015-07-02,24,0,0,22,0,0,0,0
2015-07-03,24,0,0,23,0,0,0,0
2015-07-04,24,0,0,21,0,0,0,0
2015-07-05,24,0,0,20,0,0,0,0
2015-07-07,26,0,0,21,0,0,0,0
2015-07-08,26,0,0,21,0,0,0,0
2015-07-09,26,0,0,25,0,0,0,0
2015-07-10,25,0,0,27,0,0,0,0
2015-07-11,25,0,0,24,0,0,0,0
2015-07-12,25,0,0,24,0,0,0,0
2015-07-13,27,0,0,24,0,0,0,0
2015-07-14,27,0,0,25,0,0,0,0
2015-07-15,32,0,0,26,0,0,0,0
2015-07-16,29,0,0,27,0,0,0,0
2015-07-17,27,0,0,31,0,0,0,0
2015-07-18,25,0,0,30,0,0,0,0
2015-07-19,25,0,0,30,0,0,0,0
2015-07-20,26,0,0,29,0,0,0,0
2015-07-21,22,0,0,22,0,0,0,0
2015-07-22,26,0,0,25,0,0,0,0
2015-07-23,29,0,0,23,0,0,0,0
2015-07-24,0,0,0,0,0,0,0,0
2015-07-25,0,0,0,0,0,0,0,0
2015-07-26,0,0,0,0,0,0,0,0
2015-07-27,0,0,0,0,0,0,0,0
