date,Oslo,Trondheim
2015-05-28,8,
2015-05-29,8,
2015-05-30,8,
2015-05-31,8,
2015-06-01,9,
2015-06-02,9,
2015-06-03,9,
2015-06-04,10,
2015-06-05,8,
2015-06-06,8,
2015-06-07,8,
2015-06-08,9,
2015-06-09,9,
2015-06-10,7,
2015-06-11,7,
2015-06-12,7,
2015-06-13,7,
2015-06-14,7,
2015-06-15,6,
2015-06-16,6,
2015-06-17,7,
2015-06-18,7,
2015-06-19,8,
2015-06-20,8,
2015-06-21,8,
2015-06-22,8,
2015-06-23,9,
2015-06-24,10,
2015-06-25,9,
2015-06-26,9,
2015-06-27,9,
2015-06-28,9,
2015-06-29,9,
2015-06-30,9,
2015-07-01,9,
2015-07-02,9,
2015-07-03,6,
2015-07-04,6,
2015-07-05,6,
2015-07-07,6,
2015-07-08,5,
2015-07-09,6,
2015-07-10,6,
2015-07-11,6,
2015-07-12,6,
2015-07-13,6,
2015-07-14,8,
2015-07-15,8,
2015-07-16,11,5
2015-07-17,10,5
